class,support,predicted,precision,recall,f1
Potato___Early_blight,5,1,1.0000,0.2000,0.3333
Potato___healthy,2,2,1.0000,1.0000,1.0000
Tomato___Bacterial_spot,0,2,0.0000,0.0000,0.0000
Tomato___Early_blight,6,3,1.0000,0.5000,0.6667
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,6,1.0000,1.0000,1.0000
Tomato___Tomato_mosaic_virus,0,1,0.0000,0.0000,0.0000
Tomato___healthy,4,3,1.0000,0.7500,0.8571
"Pepper,_bell___Bacterial_spot",0,1,0.0000,0.0000,0.0000
"Pepper,_bell___healthy",0,2,0.0000,0.0000,0.0000
Apple___Apple_scab,3,1,1.0000,0.3333,0.5000
Apple___Cedar_apple_rust,4,5,0.8000,1.0000,0.8889
Apple___healthy,0,3,0.0000,0.0000,0.0000
Corn_(maize)___Common_rust_,3,3,1.0000,1.0000,1.0000
